# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/athena/angsd/scratch/jiq4001//HW_Wk6/sacCer3.sgd.gtf" "-o" "featCounts_Gierlinski_genes.txt" "-t" "exon" "-g" "gene_id" "-f" "--minOverlap" "3" "--primary" "--tmpDir" "/scratchLocal" "/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam
YOR286W	chrXV	850280	850729	+	450	725	537	556	798	488	346	647	558	788	568
YOR287C	chrXV	850937	851839	-	903	53	33	57	51	43	31	115	76	82	148
YOR288C	chrXV	852121	853077	-	957	464	324	359	478	324	117	222	194	288	206
YOR289W	chrXV	853357	854112	+	756	755	521	535	799	462	180	256	271	445	209
YOR290C	chrXV	855147	860258	-	5112	15	24	13	7	12	998	1449	1123	1655	1428
YOR291W	chrXV	861175	865593	+	4419	1297	1123	1159	1581	780	576	820	665	922	721
YOR292C	chrXV	865653	866582	-	930	677	456	454	709	413	274	481	404	614	429
YOR293W	chrXV	867098	867149	+	52	1238	1135	798	1283	1076	896	1403	968	1553	1762
YOR293W	chrXV	867587	867852	+	266	7240	6033	5362	7429	5334	4399	7350	5076	8571	7723
YOR293C-A	chrXV	867998	868147	-	150	7	2	4	8	2	4	12	6	13	23
YOR294W	chrXV	868340	868951	+	612	546	449	412	587	362	306	957	438	670	988
YOR295W	chrXV	869208	869894	+	687	158	130	108	160	80	60	139	83	143	140
YOR296W	chrXV	870202	874071	+	3870	297	245	250	343	204	125	254	189	249	240
YOR297C	chrXV	874743	875321	-	579	294	187	178	259	175	104	219	168	209	187
YOR298W	chrXV	875599	877038	+	1440	169	72	99	121	57	45	189	124	115	201
YOR298C-A	chrXV	877230	877685	-	456	3369	3618	3601	4263	2232	2901	3263	2866	4478	2944
YOR299W	chrXV	878435	880675	+	2241	1242	1087	1073	1262	803	573	1016	675	1106	943
YOR300W	chrXV	880575	880883	+	309	18	14	10	30	12	2	7	6	13	10
YOR301W	chrXV	880965	882272	+	1308	544	548	509	544	408	339	342	266	464	299
YOR302W	chrXV	882765	882842	+	78	32	32	24	42	18	22	39	33	53	39
YOR303W	chrXV	882899	884134	+	1236	1685	1464	1329	1545	1173	1163	1421	1208	1884	1328
YOR304W	chrXV	884514	887876	+	3363	1033	844	969	1175	616	410	788	573	785	795
YOR304C-A	chrXV	888520	888750	-	231	160	139	131	175	121	78	110	100	147	117
YOR305W	chrXV	889022	889750	+	729	439	324	313	424	277	159	307	253	388	284
YOR306C	chrXV	889867	891432	-	1566	740	547	532	724	449	780	1179	1061	1585	1186
YOR307C	chrXV	892731	894092	-	1362	429	334	357	444	264	184	444	302	433	390
YOR308C	chrXV	894624	896387	-	1764	155	133	148	187	94	66	172	100	156	163
YOR309C	chrXV	896698	897078	-	381	136	59	95	126	44	43	165	102	123	170
YOR310C	chrXV	896825	898360	-	1536	1998	1704	1782	2464	1155	1372	2716	1631	2580	2916
YOR311C	chrXV	899056	899928	-	873	1130	847	854	1116	765	471	745	556	877	749
YOR312C	chrXV	900250	900767	-	518	9364	8160	7322	10029	6484	4401	8621	6111	9722	8887
YOR312C	chrXV	901194	901194	-	1	0	0	0	0	0	0	0	0	0	0
YOR313C	chrXV	901858	902874	-	1017	26	14	13	19	13	5	15	17	12	14
YOR314W	chrXV	903043	903372	+	330	1	1	1	2	3	1	1	2	3	3
YOR314W-A	chrXV	904458	904568	+	111	6	9	5	6	5	1	1	0	1	0
YOR315W	chrXV	904760	905800	+	1041	137	90	94	135	86	104	293	154	177	316
YOR316C	chrXV	906236	907555	-	1320	1673	1384	1376	1837	1231	659	1034	792	1178	947
YOR316C-A	chrXV	907726	907935	-	210	6	2	4	5	2	2	10	7	10	6
YOR317W	chrXV	909343	911445	+	2103	2773	2123	2206	2822	1558	1515	1871	1689	2571	1566
YOR318C	chrXV	911784	912085	-	302	103	100	114	141	85	12	46	37	33	34
YOR318C	chrXV	912433	912436	-	4	11	5	2	4	2	0	0	0	1	2
YOR319W	chrXV	912822	913463	+	642	215	172	175	240	156	95	209	150	201	211
YOR320C	chrXV	913619	915094	-	1476	958	861	928	1180	663	345	644	487	647	564
YOR322C	chrXV	918606	921062	-	2457	1661	1311	1188	1612	1038	712	1020	773	1217	995
YOR323C	chrXV	921535	922905	-	1371	2401	2322	2419	2576	1879	1348	1631	1472	2384	1668
YOR324C	chrXV	923232	925040	-	1809	612	446	420	625	317	195	298	233	300	320
YOR325W	chrXV	924577	925050	+	474	0	1	0	0	0	0	1	0	0	0
YOR326W	chrXV	925721	930445	+	4725	3170	2802	3002	3757	2077	1262	2128	1519	2344	2207
YOR327C	chrXV	930734	931081	-	348	2906	2383	2313	3090	2141	1016	1349	1229	1961	1306
YOR328W	chrXV	931803	936497	+	4695	837	755	723	885	533	228	275	254	395	246
YOR329C	chrXV	936731	939349	-	2619	1773	1562	1082	1837	1045	1131	1106	953	1626	1131
YOR329W-A	chrXV	939348	939557	+	210	18	9	6	15	3	5	10	5	10	8
YOR330C	chrXV	939621	943385	-	3765	1449	1065	1040	1550	746	462	858	625	802	808
YOR331C	chrXV	943565	944122	-	558	0	1	0	0	0	0	1	0	1	0
YOR332W	chrXV	943656	944357	+	702	2677	2590	2823	2842	2161	1407	1370	1221	2162	1448
YOR333C	chrXV	944541	944957	-	417	0	0	0	4	1	0	1	0	0	0
YOR334W	chrXV	944596	946008	+	1413	217	139	141	220	112	72	155	118	149	137
YOR335C	chrXV	946233	949109	-	2877	3939	3337	3649	4241	2489	2245	3355	2464	3572	3511
YOR335W-A	chrXV	946568	946648	+	81	0	0	0	0	0	0	0	0	0	0
YOR336W	chrXV	949773	953870	+	4098	835	572	602	902	482	317	481	428	550	465
YOR337W	chrXV	954344	956623	+	2280	307	225	231	286	205	90	166	121	177	183
YOR338W	chrXV	956898	957989	+	1092	88	73	74	105	60	24	53	42	52	59
YOR339C	chrXV	958362	958832	-	471	38	35	21	49	25	5	50	13	14	46
YOR340C	chrXV	959202	960182	-	981	316	317	300	353	187	311	638	386	538	722
YOR341W	chrXV	960987	965981	+	4995	2001	1759	1724	2218	1250	1334	2824	1647	2360	3120
YOR342C	chrXV	966666	967625	-	960	638	416	395	626	350	342	1059	663	791	1070
YOR343C	chrXV	968148	968474	-	327	55	47	44	55	38	30	18	34	43	17
YOR343W-B	chrXV	970578	971871	+	1294	0	0	0	0	0	0	0	0	0	0
YOR343W-B	chrXV	971873	975891	+	4019	34	26	24	35	11	25	32	31	45	36
YOR343W-A	chrXV	970578	971894	+	1317	0	0	0	0	0	0	0	0	0	0
YOR344C	chrXV	977194	978069	-	876	459	337	363	405	303	324	951	522	730	950
YOR345C	chrXV	981812	982162	-	351	1	0	3	1	0	0	3	1	1	3
YOR346W	chrXV	981828	984785	+	2958	755	538	645	984	463	263	615	444	634	580
YOR347C	chrXV	984942	986462	-	1521	1692	1569	1595	1810	1065	1046	930	1044	1715	686
YOR348C	chrXV	986899	988782	-	1884	637	534	430	671	353	60	94	50	86	63
YOR349W	chrXV	989789	992833	+	3045	479	356	302	437	272	125	297	203	246	273
YOR350C	chrXV	992864	994855	-	1992	300	232	257	356	163	97	215	165	247	181
YOR351C	chrXV	995018	996511	-	1494	60	43	46	67	34	21	64	35	56	64
YOR352W	chrXV	997213	998244	+	1032	539	395	420	533	360	188	277	258	427	264
YOR353C	chrXV	998453	1000828	-	2376	1065	874	850	1198	645	444	703	493	771	665
YOR354C	chrXV	1001147	1003225	-	2079	860	646	588	829	546	328	663	524	667	601
YOR355W	chrXV	1005137	1006705	+	1569	1113	709	778	990	664	376	867	630	868	763
YOR356W	chrXV	1007221	1009116	+	1896	2100	1440	1409	2017	1088	572	940	810	984	901
YOR357C	chrXV	1009224	1009712	-	489	485	350	310	493	272	132	303	264	320	229
YOR358W	chrXV	1010161	1010889	+	729	783	678	703	743	563	424	366	371	548	407
YOR359W	chrXV	1011189	1012760	+	1572	176	101	122	139	118	95	353	132	190	426
YOR360C	chrXV	1013241	1014821	-	1581	554	401	400	562	313	222	460	305	445	427
YOR361C	chrXV	1015361	1017652	-	2292	2897	2235	2622	3207	1706	1498	3048	2016	2926	3052
YOR362C	chrXV	1017880	1018746	-	867	4932	4503	4425	5280	3788	2710	2917	2684	4147	3059
YOR363C	chrXV	1020222	1023212	-	2991	654	451	435	628	330	250	426	350	528	414
YOR364W	chrXV	1023371	1023739	+	369	1	0	1	1	2	1	1	4	1	1
YOR365C	chrXV	1023461	1025572	-	2112	146	106	87	130	65	46	115	74	109	113
YOR366W	chrXV	1025256	1025609	+	354	1	1	1	1	1	0	0	0	0	0
YOR367W	chrXV	1026007	1026609	+	603	550	358	402	598	371	154	267	219	345	258
YOR368W	chrXV	1026843	1028048	+	1206	397	271	296	360	212	92	249	175	232	249
YOR369C	chrXV	1028194	1028625	-	432	28674	25616	27821	30602	21975	18147	29274	20893	35424	32124
YOR370C	chrXV	1029183	1030994	-	1812	2376	1779	1776	2249	1285	1142	1997	1529	2138	2030
YOR371C	chrXV	1031489	1034182	-	2694	262	239	236	355	129	179	212	137	189	209
YOR372C	chrXV	1034807	1036471	-	1665	522	379	371	523	281	222	366	258	359	317
YOR373W	chrXV	1036834	1039389	+	2556	573	451	403	564	358	194	355	252	354	286
YOR374W	chrXV	1039840	1041399	+	1560	20144	13123	11855	19480	9668	6548	5520	7883	8779	4915
YOR375C	chrXV	1041678	1043042	-	1365	11482	10003	9633	12344	7156	4629	4846	3786	6334	4909
YOR376W	chrXV	1043191	1043559	+	369	174	114	95	154	66	5	6	4	9	7
YOR376W-A	chrXV	1045196	1045351	+	156	58	44	34	59	26	29	46	34	63	27
YOR377W	chrXV	1046226	1047803	+	1578	1239	856	818	1173	644	337	636	509	691	590
YOR378W	chrXV	1049511	1051058	+	1548	69	62	63	79	31	49	69	39	68	53
YOR379C	chrXV	1050726	1051064	-	339	0	0	0	0	0	0	0	0	0	0
YOR380W	chrXV	1051290	1052930	+	1641	567	440	431	576	375	260	245	236	362	300
YOR381W	chrXV	1055545	1057680	+	2136	481	368	379	371	323	188	351	277	410	333
YOR381W-A	chrXV	1058423	1058590	+	168	11	8	5	10	6	2	9	2	4	5
YOR382W	chrXV	1059531	1059992	+	462	6263	7583	5091	8756	7323	5040	4320	4498	8540	4575
YOR383C	chrXV	1060441	1061055	-	615	37372	40444	42008	50699	34196	13027	11779	10621	19040	11144
YOR384W	chrXV	1061564	1063648	+	2085	833	717	760	857	512	359	591	373	591	536
YOR385W	chrXV	1065043	1065915	+	873	202	147	150	215	104	84	244	118	331	184
YOR386W	chrXV	1066839	1068536	+	1698	510	393	441	570	275	217	346	346	497	276
YOR387C	chrXV	1069621	1070241	-	621	82	89	94	90	64	43	47	46	52	39
YOR388C	chrXV	1071793	1072923	-	1131	10	3	4	3	4	2	2	2	4	1
YOR389W	chrXV	1074213	1076087	+	1875	170	134	125	159	85	61	75	63	128	84
YOR390W	chrXV	1076784	1077911	+	1128	43	22	35	55	25	8	33	25	34	42
YOR391C	chrXV	1078545	1079258	-	714	6	1	3	2	0	0	0	1	0	1
YOR392W	chrXV	1079282	1079725	+	444	1	0	3	1	1	0	0	0	2	0
YOR393W	chrXV	1080276	1081589	+	1314	0	0	0	0	0	0	0	0	0	0
YOR394W	chrXV	1082718	1083212	+	495	0	0	0	0	0	0	0	0	0	0
YOR394C-A	chrXV	1084202	1084369	-	168	5	3	5	5	8	1	2	4	1	2
YOR396W	chrXV	1085473	1090863	+	5391	0	0	0	0	0	0	0	0	0	0
YOR396C-A	chrXV	1090015	1090497	-	483	0	0	0	0	0	0	0	0	0	0
YCR009C	chrIII	130745	131542	-	798	2042	1812	1868	2270	1435	1034	1303	1203	2082	1163
YCR084C	chrIII	260311	262452	-	2142	2500	2012	2032	2542	1448	1606	2261	1518	2450	2301
YCL076W	chrIII	1392	2135	+	744	0	0	0	0	0	0	0	0	0	0
YCL073C	chrIII	6479	8326	-	1848	0	0	0	0	0	0	0	0	0	0
YCL069W	chrIII	9706	11082	+	1377	0	0	0	0	1	0	0	0	0	0
YCL068C	chrIII	11503	12285	-	783	0	0	0	0	0	0	0	0	0	0
YCL067C	chrIII	12386	13018	-	633	0	0	0	0	0	0	0	0	0	0
YCL066W	chrIII	13282	13809	+	528	0	0	0	0	0	0	0	0	0	0
YCL065W	chrIII	13751	14119	+	369	0	0	0	0	0	0	0	0	0	0
YCL064C	chrIII	15798	16880	-	1083	2541	1890	1818	2383	1497	2425	4560	3871	5228	4279
YCL063W	chrIII	17290	18561	+	1272	884	644	574	888	543	206	391	299	385	409
YCL061C	chrIII	18816	22106	-	3291	577	494	508	668	322	177	269	219	371	262
YCL059C	chrIII	22429	23379	-	951	1413	1036	1295	1842	802	648	1351	917	1274	1539
YCL058C	chrIII	23523	23981	-	459	99	23	44	69	13	8	36	37	28	40
YCL058W-A	chrIII	23584	23925	+	342	0	0	0	0	0	0	0	0	0	0
YCL057C-A	chrIII	24032	24325	-	294	1887	1631	1353	1881	1526	844	818	718	1240	918
YCL057W	chrIII	24768	26906	+	2139	2699	2394	2526	3050	1906	1138	1321	1231	1895	1267
YCL056C	chrIII	26925	27359	-	435	441	296	312	460	305	98	211	172	231	143
YCL055W	chrIII	27929	28936	+	1008	556	370	398	528	331	145	239	191	284	225
YCL054W	chrIII	31449	33974	+	2526	515	379	534	601	311	321	1066	423	652	1314
YCL052C	chrIII	34143	35393	-	1251	1383	997	1005	1298	728	556	747	659	975	763
YCL051W	chrIII	35865	37616	+	1752	2066	1475	1448	1974	1278	777	1063	934	1429	988
YCL050C	chrIII	37836	38801	-	966	2716	2340	2360	2883	1915	1499	2416	1853	2914	2275
YCL049C	chrIII	39786	40724	-	939	1844	1384	1427	1773	1146	624	708	668	1005	686
YCL048W-A	chrIII	41488	41727	+	240	47	42	17	43	23	5	5	5	16	5
YCL048W	chrIII	42165	43556	+	1392	139	92	80	114	59	11	18	15	27	21
YCL047C	chrIII	43661	44437	-	777	335	206	245	344	204	111	199	172	270	180
YCL045C	chrIII	44623	46905	-	2283	3032	2368	2423	3296	1859	1215	1931	1446	2293	1833
YCL046W	chrIII	46640	46963	+	324	4	1	0	4	0	1	0	0	2	1
YCL044C	chrIII	47111	48364	-	1254	783	682	510	951	487	289	318	303	448	307
YCL043C	chrIII	48653	50221	-	1569	15322	16433	15774	16580	12164	8061	6612	6392	11411	7279
YCL041C	chrIII	50133	50627	-	495	18	15	19	21	13	4	14	11	18	12
YCL042W	chrIII	50584	50943	+	360	35	16	20	26	15	12	12	16	17	13
YCL040W	chrIII	50838	52340	+	1503	24902	23078	22191	24260	17721	20115	14314	18035	28595	13433
YCL039W	chrIII	52645	54882	+	2238	1706	1358	1252	1683	1028	706	726	633	1051	799
YCL038C	chrIII	54941	56527	-	1587	913	642	733	964	533	399	455	447	646	458
YCL037C	chrIII	57374	58678	-	1305	9	17	17	14	10	29	24	30	34	34
YCL036W	chrIII	59026	60726	+	1701	53	46	48	53	31	71	150	63	115	203
YCL035C	chrIII	60841	61173	-	333	1765	1683	1656	1924	1574	873	961	1108	1856	906
YCL034W	chrIII	61658	62722	+	1065	2584	2160	2135	2688	1726	1244	1217	1165	1808	1232
YCL033C	chrIII	62776	63282	-	507	931	847	750	934	796	587	465	444	844	462
YCL032W	chrIII	63441	64481	+	1041	1068	844	770	1177	634	450	549	462	775	514
YCL031C	chrIII	64675	65568	-	894	1016	776	800	1227	647	408	874	617	862	861
YCL030C	chrIII	65934	68333	-	2400	1690	1652	1798	1668	1305	5355	2104	2955	7183	2026
YCL029C	chrIII	68599	69921	-	1323	640	541	552	651	442	288	427	285	480	441
YCL028W	chrIII	70150	71367	+	1218	2113	1789	1564	1927	1514	1195	1376	1109	1900	1473
YCL027W	chrIII	71803	73341	+	1539	270	241	214	274	177	58	76	69	114	58
YCL026C-B	chrIII	73405	73986	-	582	398	353	312	467	297	129	101	113	200	101
YCL026C-A	chrIII	74704	75285	-	582	48	29	32	51	27	14	30	20	24	23
YCL025C	chrIII	76018	77919	-	1902	1021	733	724	1005	557	2540	1420	1850	2546	1425
YCL023C	chrIII	78949	79296	-	348	3	1	1	1	6	0	0	0	0	2
YCL024W	chrIII	79162	82275	+	3114	257	212	268	336	173	85	130	96	105	138
YCL022C	chrIII	81570	82085	-	516	0	0	0	0	0	0	0	0	0	0
YCL021W-A	chrIII	83620	83997	+	378	47	34	36	56	33	37	68	50	78	97
YCL019W	chrIII	85102	86391	+	1290	0	0	0	0	0	0	0	0	0	0
YCL019W	chrIII	86393	90415	+	4023	0	0	0	0	0	0	1	0	1	0
YCL020W	chrIII	85102	86418	+	1317	0	0	0	0	0	0	0	0	0	0
YCL018W	chrIII	91324	92418	+	1095	0	0	0	0	0	0	0	0	0	0
YCL017C	chrIII	92777	94270	-	1494	1496	1347	1353	1593	1014	830	911	735	1145	915
YCL016C	chrIII	94621	95763	-	1143	504	377	322	454	269	150	240	171	306	237
YCL014W	chrIII	96281	101191	+	4911	458	321	390	611	249	174	315	227	323	282
YCL012C	chrIII	101317	101633	-	317	196	129	103	191	101	71	104	92	160	120
YCL012C	chrIII	101701	101788	-	88	30	33	22	27	17	15	23	24	21	28
YCL011C	chrIII	102075	103358	-	1284	4043	3233	3444	4289	2407	1967	2675	2101	3178	2740
YCL010C	chrIII	103571	104350	-	780	732	692	661	781	412	494	457	346	627	509
YCL009C	chrIII	104619	105548	-	930	5810	5947	6074	6283	4373	4475	2952	2606	5181	3358
YCL008C	chrIII	105696	106853	-	1158	1272	1258	1116	1370	960	843	685	579	1002	765
YCL007C	chrIII	106974	107366	-	393	26	7	18	8	15	5	15	5	15	13
YCL005W-A	chrIII	107023	107033	+	11	0	0	0	0	0	0	0	0	0	0
YCL005W-A	chrIII	107111	107191	+	81	0	0	0	0	0	0	0	0	0	0
YCL005W-A	chrIII	107288	107417	+	130	347	323	329	441	246	159	214	169	280	206
YCL005W	chrIII	108021	108791	+	771	791	603	485	642	503	361	532	427	676	560
YCL004W	chrIII	109105	110670	+	1566	332	258	227	341	182	117	229	187	282	195
YCL002C	chrIII	110808	111557	-	750	474	344	335	422	313	198	338	251	405	332
YCL002C	chrIII	111634	111675	-	42	13	9	3	7	7	3	14	6	14	7
YCL001W	chrIII	111916	112482	+	567	1332	941	858	1304	800	385	802	677	949	759
YCL001W-A	chrIII	113080	113541	+	462	21	13	17	19	11	2	12	8	10	9
YCL001W-B	chrIII	113770	114024	+	255	47	32	30	36	30	8	23	16	17	16
YCR001W	chrIII	115685	115999	+	315	44	28	39	53	27	7	35	19	30	30
YCR002C	chrIII	117380	118348	-	969	1928	1356	1265	1815	1142	517	979	890	1235	874
YCR003W	chrIII	118620	119171	+	552	451	309	326	461	276	183	337	301	343	283
YCR004C	chrIII	119575	120318	-	744	4269	3574	3515	4599	2501	1650	1829	1985	2975	1616
YCR005C	chrIII	120946	122328	-	1383	4118	2366	2222	3499	1924	456	1636	935	1211	1302
YCR006C	chrIII	122530	123003	-	474	106	81	57	98	41	28	36	24	31	28
YCR007C	chrIII	126011	126730	-	720	268	181	213	259	168	120	99	101	252	98
YCR008W	chrIII	128470	130281	+	1812	1587	1231	1163	1844	918	618	1231	1016	1281	1088
YCR010C	chrIII	132273	133124	-	852	308	195	140	333	166	68	70	59	119	64
YCR011C	chrIII	133724	136873	-	3150	2156	2038	2137	2634	1375	1142	1348	1281	1721	1231
YCR012W	chrIII	137746	138996	+	1251	49807	48058	50103	46591	33556	29636	31707	27255	52169	32303
YCR013C	chrIII	138402	139049	-	648	1590	1025	1244	1296	1403	500	1266	1156	1686	1103
YCR014C	chrIII	139185	140933	-	1749	313	209	254	341	188	111	177	169	190	175
YCR015C	chrIII	141217	142170	-	954	185	103	127	207	97	63	104	97	134	87
YCR016W	chrIII	143634	144506	+	873	470	321	365	502	264	177	589	357	416	595
YCR017C	chrIII	144773	147634	-	2862	3844	3206	3159	3957	2522	1784	2379	1788	2914	2269
YCR018C	chrIII	148238	148903	-	666	166	107	115	147	81	128	338	253	318	309
YCR018C-A	chrIII	151608	151862	-	255	22	16	9	20	12	3	14	7	15	7
YCR019W	chrIII	152837	153928	+	1092	378	336	318	361	254	143	207	153	229	217
YCR020C	chrIII	154012	154659	-	648	51	62	35	69	40	21	44	50	67	49
YCR020C-A	chrIII	154830	155096	-	267	281	272	201	320	224	109	183	145	241	189
YCR020W-B	chrIII	155320	155556	+	237	104	68	89	112	58	34	101	76	91	116
YCR021C	chrIII	156109	157107	-	999	286	263	249	265	199	843	738	373	2599	620
YCR022C	chrIII	157421	157765	-	345	37	32	23	34	23	5	24	12	20	15
YCR023C	chrIII	158538	160373	-	1836	769	640	667	808	469	341	528	398	576	455
YCR024C	chrIII	160744	162222	-	1479	576	394	388	542	329	125	261	219	319	197
YCR024C-B	chrIII	162599	162865	-	267	3227	1813	2439	2695	2216	2171	4659	3568	4934	4780
YCR024C-A	chrIII	162945	163067	-	123	1325	939	863	1358	784	847	2225	1658	2104	2144
YCR025C	chrIII	163446	163856	-	411	224	167	165	193	153	21	21	31	28	25
YCR026C	chrIII	164111	166339	-	2229	1213	1255	1074	1364	865	455	589	448	735	611
YCR027C	chrIII	167370	167999	-	630	405	297	269	377	208	139	189	184	213	176
YCR028C	chrIII	170886	172424	-	1539	641	461	479	571	337	295	414	293	453	375
YCR028C-A	chrIII	172950	173115	-	166	679	526	551	700	433	237	426	400	531	404
YCR028C-A	chrIII	173199	173440	-	242	937	758	595	1014	604	381	685	555	825	689
YCR030C	chrIII	173826	176438	-	2613	1647	1345	1369	1879	985	900	952	786	1313	827
YCR031C	chrIII	177500	177906	-	407	14416	12146	11982	13696	12022	8757	13116	9762	16704	14637
YCR031C	chrIII	178214	178220	-	7	4	2	1	1	3	0	2	3	2	1
YCR032W	chrIII	179520	186023	+	6504	632	546	528	795	438	321	463	358	555	417
YCR033W	chrIII	186489	190169	+	3681	1541	1250	1284	1772	917	640	1057	781	1032	1017
YCR034W	chrIII	190592	191635	+	1044	1582	1254	972	1743	991	896	1632	1144	1757	1683
YCR035C	chrIII	191834	193018	-	1185	825	664	662	846	522	373	678	478	659	714
YCR036W	chrIII	193297	194298	+	1002	1240	869	919	1366	719	386	641	680	853	563
YCR037C	chrIII	194414	197185	-	2772	1105	897	815	1076	639	564	760	686	967	705
YCR038C	chrIII	197621	199549	-	1929	292	271	225	319	229	130	198	177	309	203
YCR038W-A	chrIII	199293	199418	+	126	0	0	0	0	0	0	0	0	0	0
YCR039C	chrIII	199546	200178	-	633	0	0	0	0	0	0	0	0	0	0
YCR040W	chrIII	200442	200969	+	528	0	0	0	0	0	0	0	0	0	0
YCR041W	chrIII	200911	201243	+	333	0	0	0	0	0	0	0	0	0	0
YCR042C	chrIII	201174	205397	-	4224	1257	1041	1197	1511	884	486	843	618	867	857
YCR043C	chrIII	206261	206644	-	384	519	413	397	599	366	265	468	352	484	442
YCR044C	chrIII	206877	207950	-	1074	1203	1028	973	1203	854	459	608	598	864	687
YCR045C	chrIII	208135	209610	-	1476	357	304	288	326	208	203	272	228	352	294
YCR045W-A	chrIII	208751	209101	+	351	0	0	0	0	0	0	0	0	0	0
YCR046C	chrIII	209914	210423	-	510	989	757	739	870	700	590	665	629	904	660
YCR047C	chrIII	210718	211545	-	828	487	388	363	494	283	226	478	230	312	608
YCR047W-A	chrIII	211301	211507	+	207	0	0	0	0	0	0	0	0	0	0
YCR049C	chrIII	211871	212317	-	447	1	4	1	3	0	1	2	2	0	0
YCR048W	chrIII	211929	213761	+	1833	1198	1087	1190	1215	825	739	715	471	908	878
YCR050C	chrIII	213464	213772	-	309	5	2	11	10	4	5	3	4	3	4
YCR051W	chrIII	214071	214739	+	669	2351	2019	2033	2350	1670	1644	1837	1190	2041	2354
YCR052W	chrIII	214994	216445	+	1452	1526	1307	1302	1484	1118	1017	1021	858	1362	1166
YCR053W	chrIII	216697	218241	+	1545	4331	3667	3670	4552	2776	2549	3372	2648	4295	3285
YCR054C	chrIII	218376	220067	-	1692	139	103	91	140	80	71	112	92	102	118
YCR057C	chrIII	220457	223228	-	2772	455	332	341	440	285	376	1171	521	722	1233
YCR059C	chrIII	223454	224230	-	777	1322	1159	1212	1326	1008	779	838	580	1048	975
YCR060W	chrIII	224399	224734	+	336	508	414	386	492	411	248	259	214	406	273
YCR061W	chrIII	225563	227458	+	1896	862	767	678	814	541	494	368	371	622	343
YCR064C	chrIII	228095	228505	-	411	4	3	4	4	1	3	7	2	6	2
YCR063W	chrIII	228318	228791	+	474	38	42	26	48	36	24	37	21	32	29
YCR065W	chrIII	229310	231004	+	1695	491	513	498	615	390	180	289	186	313	294
YCR066W	chrIII	231500	232963	+	1464	303	239	257	292	203	88	238	164	224	207
YCR067C	chrIII	233125	236322	-	3198	1569	1246	1158	1548	877	752	1057	767	1244	940
YCR068W	chrIII	237214	238776	+	1563	539	428	418	478	268	380	307	248	411	254
YCR069W	chrIII	239055	240011	+	957	2654	2152	2145	2726	1921	1105	1283	1200	2005	1183
YCR071C	chrIII	240103	240543	-	441	410	322	280	480	267	171	279	300	363	316
YCR072C	chrIII	240805	242352	-	1548	85	59	73	83	50	109	282	123	148	347
YCR073C	chrIII	242588	246583	-	3996	1243	1009	890	1307	715	577	716	662	913	745
YCR073W-A	chrIII	246963	247910	+	948	1481	1541	1381	1728	1080	952	675	698	1192	762
YCR075C	chrIII	248033	248815	-	783	650	477	425	662	449	228	310	276	376	323
YCR075W-A	chrIII	248975	249202	+	228	475	355	343	481	372	216	227	197	342	258
YCR076C	chrIII	249293	250045	-	753	723	592	622	714	526	273	350	302	458	318
YCR077C	chrIII	250238	252628	-	2391	2540	1846	1878	2655	1284	1372	2012	1501	2173	1863
YCR079W	chrIII	252845	254173	+	1329	1496	1090	972	1333	785	452	577	450	738	507
YCR081W	chrIII	254371	258654	+	4284	214	175	216	245	122	115	201	141	203	185
YCR081C-A	chrIII	258415	258651	-	237	0	0	0	0	0	0	0	0	0	0
YCR082W	chrIII	258883	259269	+	387	1064	783	764	1127	702	400	623	575	808	540
